ward_code,period,median_price
E05011717,Mar 1996,77475.0
E05011718,Mar 1996,110750.0
E05012973,Mar 1996,58500.0
E05012971,Mar 1996,64850.0
E05009771,Mar 1996,78500.0
E05012977,Mar 1996,88000.0
E05012979,Mar 1996,70000.0
E05011713,Mar 1996,87000.0
E05006627,Mar 1996,100000.0
E05006628,Mar 1996,117500.0
E05006629,Mar 1996,74995.0
E05006637,Mar 1996,69000.0
E05006650,Mar 1996,77000.0
E05006642,Mar 1996,85500.0
E05010782,Mar 1996,89250.0
E05006653,Mar 1996,82572.0
E05006638,Mar 1996,89500.0
E05006639,Mar 1996,78000.0
E05006640,Mar 1996,84250.0
E05006647,Mar 1996,74000.0
E05006632,Mar 1996,60000.0
E05006648,Mar 1996,70000.0
E05006649,Mar 1996,70000.0
E05006634,Mar 1996,64000.0
E05006643,Mar 1996,85000.0
E05010783,Mar 1996,74000.0
E05006651,Mar 1996,62000.0
E05009363,Mar 1996,165000.0
E05006644,Mar 1996,108995.0
E05006645,Mar 1996,88250.0
E05006646,Mar 1996,92000.0
E05009364,Mar 1996,81000.0
E05009365,Mar 1996,60000.0
E05010781,Mar 1996,124000.0
E05006652,Mar 1996,59995.0
E05010922,Jun 1996,46000.0
E05010923,Jun 1996,45000.0
E05010924,Jun 1996,42875.0
E05010925,Jun 1996,55900.0
E05010921,Jun 1996,44737.0
E05010930,Jun 1996,92500.0
E05010932,Jun 1996,63000.0
E05011349,Jun 1996,65500.0
E05012969,Jun 1996,105000.0
E05010933,Jun 1996,62250.0
E05010934,Jun 1996,94000.0
E05010928,Jun 1996,56750.0
E05012968,Jun 1996,69475.0
E05010926,Jun 1996,59972.5
E05010929,Jun 1996,86750.0
E05011348,Jun 1996,79000.0
E05006546,Jun 1996,52500.0
E05006547,Jun 1996,99500.0
E05006548,Jun 1996,66350.0
E05006545,Jun 1996,63625.0
E05006549,Jun 1996,64500.0
E05006550,Jun 1996,66800.0
E05006552,Jun 1996,70000.0
E05006568,Jun 1996,89950.0
E05006566,Jun 1996,78250.0
E05006563,Jun 1996,72975.0
E05006561,Jun 1996,58850.0
E05006556,Jun 1996,87250.0
E05006558,Jun 1996,67250.0
E05006567,Jun 1996,105000.0
E05006553,Jun 1996,88000.0
E05006555,Jun 1996,75950.0
E05006564,Jun 1996,89950.0
E05006559,Jun 1996,76000.0
E05006551,Jun 1996,91250.0
E05006565,Jun 1996,93750.0
E05006562,Jun 1996,75000.0
E05006560,Jun 1996,125000.0
E05006557,Jun 1996,61500.0
E05009733,Jun 1996,91000.0
E05009734,Jun 1996,63950.0
E05009735,Jun 1996,94950.0
E05009736,Jun 1996,85000.0
E05011712,Jun 1996,135000.0
E05011704,Jun 1996,122500.0
E05009751,Jun 1996,98000.0
E05009743,Jun 1996,135500.0
E05011708,Jun 1996,98000.0
E05012853,Jun 1996,96000.0
E05011702,Jun 1996,58516.0
E05011710,Jun 1996,70000.0
E05011711,Jun 1996,79500.0
E05012854,Jun 1996,135000.0
E05011703,Jun 1996,56625.0
E05011705,Jun 1996,148500.0
E05009749,Jun 1996,70000.0
E05011701,Jun 1996,106500.0
E05009740,Jun 1996,57750.0
E05011707,Jun 1996,130000.0
E05009742,Jun 1996,104500.0
E05009754,Jun 1996,58950.0
E05012974,Jun 1996,57500.0
E05012978,Jun 1996,70000.0
E05012980,Jun 1996,76000.0
E05012972,Jun 1996,81000.0
E05011719,Jun 1996,82000.0
E05009755,Jun 1996,65000.0
E05009757,Jun 1996,66875.0
E05009769,Jun 1996,77500.0
E05011714,Jun 1996,108000.0
E05012970,Jun 1996,74750.0
E05012975,Jun 1996,69000.0
E05009770,Jun 1996,68975.0
E05012976,Jun 1996,75500.0
E05012992,Jun 1996,96250.0
E05011715,Jun 1996,78500.0
E05011717,Jun 1996,79975.0
E05011718,Jun 1996,124000.0
E05012973,Jun 1996,58875.0
E05012971,Jun 1996,64875.0
E05009771,Jun 1996,82500.0
E05012977,Jun 1996,88000.0
E05012979,Jun 1996,68950.0
E05011713,Jun 1996,87000.0
E05006627,Jun 1996,95000.0
E05006628,Jun 1996,90000.0
E05006629,Jun 1996,71000.0
E05006637,Jun 1996,68125.0
E05006650,Jun 1996,78000.0
E05006642,Jun 1996,92250.0
E05010782,Jun 1996,81400.0
E05006653,Jun 1996,79000.0
E05006638,Jun 1996,90500.0
E05006639,Jun 1996,74000.0
E05006640,Jun 1996,90000.0
E05006647,Jun 1996,74000.0
E05006632,Jun 1996,61250.0
E05006648,Jun 1996,67750.0
E05006649,Jun 1996,63500.0
E05006634,Jun 1996,64975.0
E05006643,Jun 1996,77000.0
E05010783,Jun 1996,74000.0
E05006651,Jun 1996,64000.0
E05009363,Jun 1996,163000.0
E05006644,Jun 1996,108995.0
E05006645,Jun 1996,91000.0
E05006646,Jun 1996,90000.0
E05009364,Jun 1996,73000.0
E05009365,Jun 1996,59974.5
E05010781,Jun 1996,115000.0
E05006652,Jun 1996,59950.0
E05010922,Sep 1996,47000.0
E05010923,Sep 1996,44500.0
E05010924,Sep 1996,42875.0
E05010925,Sep 1996,55000.0
E05010921,Sep 1996,45750.0
E05010930,Sep 1996,107000.0
E05010932,Sep 1996,65500.0
E05011349,Sep 1996,66000.0
E05012969,Sep 1996,107975.0
E05010933,Sep 1996,65000.0
E05010934,Sep 1996,107125.0
E05010928,Sep 1996,57000.0
E05012968,Sep 1996,71500.0
E05010926,Sep 1996,59000.0
E05010929,Sep 1996,89975.0
E05011348,Sep 1996,84500.0
E05006546,Sep 1996,52000.0
E05006547,Sep 1996,99500.0
E05006548,Sep 1996,68500.0
E05006545,Sep 1996,66125.0
E05006549,Sep 1996,64250.0
E05006550,Sep 1996,66800.0
E05006552,Sep 1996,70000.0
E05006568,Sep 1996,89975.0
E05006566,Sep 1996,84500.0
E05006563,Sep 1996,74250.0
E05006561,Sep 1996,58500.0
E05006556,Sep 1996,89995.0
E05006558,Sep 1996,69000.0
E05006567,Sep 1996,105000.0
E05006553,Sep 1996,94000.0
E05006555,Sep 1996,75950.0
E05006564,Sep 1996,92000.0
E05006559,Sep 1996,77000.0
E05006551,Sep 1996,94250.0
E05006565,Sep 1996,116750.0
E05006562,Sep 1996,75000.0
E05006560,Sep 1996,137000.0
E05006557,Sep 1996,61500.0
E05009733,Sep 1996,86500.0
E05009734,Sep 1996,79950.0
E05009735,Sep 1996,110000.0
E05009736,Sep 1996,89950.0
E05011712,Sep 1996,136000.0
E05011704,Sep 1996,148000.0
E05009751,Sep 1996,113500.0
E05009743,Sep 1996,137250.0
E05011708,Sep 1996,94500.0
E05012853,Sep 1996,98500.0
E05011702,Sep 1996,60000.0
E05011710,Sep 1996,71375.0
E05011711,Sep 1996,82500.0
E05012854,Sep 1996,135000.0
E05011703,Sep 1996,57750.0
E05011705,Sep 1996,143500.0
E05009749,Sep 1996,70000.0
E05011701,Sep 1996,102500.0
E05009740,Sep 1996,58000.0
E05011707,Sep 1996,170000.0
E05009742,Sep 1996,130000.0
E05009754,Sep 1996,59950.0
E05012974,Sep 1996,57500.0
E05012978,Sep 1996,72000.0
E05012980,Sep 1996,79000.0
E05012972,Sep 1996,85000.0
E05011719,Sep 1996,82000.0
E05009755,Sep 1996,64375.0
E05009757,Sep 1996,66500.0
E05009769,Sep 1996,75000.0
E05011714,Sep 1996,105000.0
E05012970,Sep 1996,72497.5
E05012975,Sep 1996,67950.0
E05009770,Sep 1996,71250.0
E05012976,Sep 1996,85500.0
E05012992,Sep 1996,107000.0
E05011715,Sep 1996,80000.0
E05011717,Sep 1996,87000.0
E05011718,Sep 1996,122500.0
E05012973,Sep 1996,58000.0
E05012971,Sep 1996,68000.0
E05009771,Sep 1996,85000.0
E05012977,Sep 1996,87250.0
E05012979,Sep 1996,72500.0
E05011713,Sep 1996,86000.0
E05006627,Sep 1996,91997.5
E05006628,Sep 1996,129000.0
E05006629,Sep 1996,81750.0
E05006637,Sep 1996,67074.5
E05006650,Sep 1996,72000.0
E05006642,Sep 1996,109125.0
E05010782,Sep 1996,83250.0
E05006653,Sep 1996,84174.0
E05006638,Sep 1996,78900.0
E05006639,Sep 1996,74000.0
E05006640,Sep 1996,86250.0
E05006647,Sep 1996,72000.0
E05006632,Sep 1996,61250.0
E05006648,Sep 1996,72000.0
E05006649,Sep 1996,64150.0
E05006634,Sep 1996,67000.0
E05006643,Sep 1996,77750.0
E05010783,Sep 1996,78250.0
E05006651,Sep 1996,64750.0
E05009363,Sep 1996,140000.0
E05006644,Sep 1996,107500.0
E05006645,Sep 1996,93000.0
E05006646,Sep 1996,92500.0
E05009364,Sep 1996,83500.0
E05009365,Sep 1996,60475.0
E05010781,Sep 1996,120000.0
E05006652,Sep 1996,60000.0
E05010922,Dec 1996,47500.0
E05010923,Dec 1996,45000.0
E05010924,Dec 1996,41250.0
E05010925,Dec 1996,54350.0
E05010921,Dec 1996,47000.0
E05010930,Dec 1996,107750.0
E05010932,Dec 1996,66500.0
E05011349,Dec 1996,66000.0
E05012969,Dec 1996,107000.0
E05010933,Dec 1996,64000.0
E05010934,Dec 1996,111000.0
E05010928,Dec 1996,56500.0
E05012968,Dec 1996,73500.0
E05010926,Dec 1996,56000.0
E05010929,Dec 1996,94250.0
E05011348,Dec 1996,86000.0
E05006546,Dec 1996,52000.0
E05006547,Dec 1996,101500.0
E05006548,Dec 1996,65000.0
E05006545,Dec 1996,66125.0
E05006549,Dec 1996,65000.0
E05006550,Dec 1996,69500.0
E05006552,Dec 1996,71000.0
E05006568,Dec 1996,90000.0
E05006566,Dec 1996,85000.0
E05006563,Dec 1996,75500.0
E05006561,Dec 1996,58972.5
E05006556,Dec 1996,90000.0
E05006558,Dec 1996,69499.5
E05006567,Dec 1996,117000.0
E05006553,Dec 1996,95000.0
E05006555,Dec 1996,75950.0
E05006564,Dec 1996,92000.0
E05006559,Dec 1996,75475.0
E05006551,Dec 1996,94750.0
E05006565,Dec 1996,115000.0
E05006562,Dec 1996,78950.0
E05006560,Dec 1996,130000.0
E05006557,Dec 1996,63000.0
E05009733,Dec 1996,92250.0
E05009734,Dec 1996,90000.0
E05009735,Dec 1996,94250.0
E05009736,Dec 1996,89950.0
E05011712,Dec 1996,139500.0
E05011704,Dec 1996,130000.0
E05009751,Dec 1996,144000.0
E05009743,Dec 1996,126000.0
E05011708,Dec 1996,100000.0
E05012853,Dec 1996,103000.0
E05011702,Dec 1996,62250.0
E05011710,Dec 1996,72500.0
E05011711,Dec 1996,86000.0
E05012854,Dec 1996,135125.0
E05011703,Dec 1996,58000.0
E05011705,Dec 1996,141500.0
E05009749,Dec 1996,73250.0
E05011701,Dec 1996,106500.0
E05009740,Dec 1996,58875.0
E05011707,Dec 1996,175000.0
E05009742,Dec 1996,110000.0
E05009754,Dec 1996,65250.0
E05012974,Dec 1996,59950.0
E05012978,Dec 1996,78000.0
E05012980,Dec 1996,84000.0
E05012972,Dec 1996,82000.0
E05011719,Dec 1996,89000.0
E05009755,Dec 1996,63750.0
E05009757,Dec 1996,67000.0
E05009769,Dec 1996,84000.0
E05011714,Dec 1996,100250.0
E05012970,Dec 1996,69500.0
E05012975,Dec 1996,67750.0
E05009770,Dec 1996,72750.0
E05012976,Dec 1996,100500.0
E05012992,Dec 1996,106000.0
E05011715,Dec 1996,88500.0
E05011717,Dec 1996,86000.0
E05011718,Dec 1996,131500.0
E05012973,Dec 1996,58000.0
E05012971,Dec 1996,69250.0
E05009771,Dec 1996,99250.0
E05012977,Dec 1996,79000.0
E05012979,Dec 1996,72000.0
E05011713,Dec 1996,93750.0
E05006627,Dec 1996,90000.0
E05006628,Dec 1996,137500.0
E05006629,Dec 1996,81500.0
E05006637,Dec 1996,65625.0
E05006650,Dec 1996,74975.0
E05006642,Dec 1996,115000.0
E05010782,Dec 1996,83000.0
E05006653,Dec 1996,86000.0
E05006638,Dec 1996,78700.0
E05006639,Dec 1996,77250.0
E05006640,Dec 1996,90000.0
E05006647,Dec 1996,76500.0
E05006632,Dec 1996,61250.0
E05006648,Dec 1996,73000.0
E05006649,Dec 1996,65750.0
E05006634,Dec 1996,67750.0
E05006643,Dec 1996,77500.0
E05010783,Dec 1996,82500.0
E05006651,Dec 1996,66500.0
E05009363,Dec 1996,138000.0
E05006644,Dec 1996,108747.5
E05006645,Dec 1996,100000.0
E05006646,Dec 1996,97000.0
E05009364,Dec 1996,77000.0
E05009365,Dec 1996,59972.5
E05010781,Dec 1996,121500.0
E05006652,Dec 1996,66500.0
E05010922,Mar 1997,47500.0
E05010923,Mar 1997,45000.0
E05010924,Mar 1997,41750.0
E05010925,Mar 1997,55750.0
E05010921,Mar 1997,49125.0
E05010930,Mar 1997,109000.0
E05010932,Mar 1997,70000.0
E05011349,Mar 1997,69750.0
E05012969,Mar 1997,112500.0
E05010933,Mar 1997,66500.0
E05010934,Mar 1997,99000.0
E05010928,Mar 1997,58250.0
E05012968,Mar 1997,74500.0
E05010926,Mar 1997,55450.0
E05010929,Mar 1997,97250.0
E05011348,Mar 1997,88000.0
E05006546,Mar 1997,52000.0
E05006547,Mar 1997,102500.0
E05006548,Mar 1997,65000.0
E05006545,Mar 1997,66750.0
E05006549,Mar 1997,66000.0
E05006550,Mar 1997,73000.0
E05006552,Mar 1997,72000.0
E05006568,Mar 1997,92250.0
E05006566,Mar 1997,85000.0
E05006563,Mar 1997,81000.0
E05006561,Mar 1997,59801.5
E05006556,Mar 1997,90995.0
E05006558,Mar 1997,69999.5
E05006567,Mar 1997,116000.0
E05006553,Mar 1997,95000.0
E05006555,Mar 1997,74750.0
E05006564,Mar 1997,89950.0
E05006559,Mar 1997,76750.0
E05006551,Mar 1997,99950.0
E05006565,Mar 1997,116750.0
E05006562,Mar 1997,80000.0
E05006560,Mar 1997,133500.0
E05006557,Mar 1997,64250.0
E05009733,Mar 1997,89000.0
E05009734,Mar 1997,82000.0
E05009735,Mar 1997,88000.0
E05009736,Mar 1997,90500.0
E05011712,Mar 1997,140000.0
E05011704,Mar 1997,135825.0
E05009751,Mar 1997,129000.0
E05009743,Mar 1997,125000.0
E05011708,Mar 1997,100000.0
E05012853,Mar 1997,107000.0
E05011702,Mar 1997,61500.0
E05011710,Mar 1997,76250.0
E05011711,Mar 1997,85000.0
E05012854,Mar 1997,134500.0
E05011703,Mar 1997,58500.0
E05011705,Mar 1997,143750.0
E05009749,Mar 1997,74000.0
E05011701,Mar 1997,104250.0
E05009740,Mar 1997,63450.0
E05011707,Mar 1997,165000.0
E05009742,Mar 1997,127000.0
E05009754,Mar 1997,69975.0
E05012974,Mar 1997,60997.5
E05012978,Mar 1997,82000.0
E05012980,Mar 1997,84375.0
E05012972,Mar 1997,82500.0
E05011719,Mar 1997,93000.0
E05009755,Mar 1997,62250.0
E05009757,Mar 1997,68975.0
E05009769,Mar 1997,105500.0
E05011714,Mar 1997,106870.0
E05012970,Mar 1997,70750.0
E05012975,Mar 1997,79500.0
E05009770,Mar 1997,72500.0
E05012976,Mar 1997,107000.0
E05012992,Mar 1997,113000.0
E05011715,Mar 1997,93500.0
E05011717,Mar 1997,86000.0
E05011718,Mar 1997,135000.0
E05012973,Mar 1997,59500.0
E05012971,Mar 1997,68785.0
E05009771,Mar 1997,103250.0
E05012977,Mar 1997,78500.0
E05012979,Mar 1997,73000.0
E05011713,Mar 1997,92500.0
E05006627,Mar 1997,94497.5
E05006628,Mar 1997,124950.0
E05006629,Mar 1997,79000.0
E05006637,Mar 1997,64747.5
E05006650,Mar 1997,74950.0
E05006642,Mar 1997,106000.0
E05010782,Mar 1997,79500.0
E05006653,Mar 1997,85500.0
E05006638,Mar 1997,77975.0
E05006639,Mar 1997,78400.0
E05006640,Mar 1997,92000.0
E05006647,Mar 1997,77000.0
E05006632,Mar 1997,60000.0
E05006648,Mar 1997,73000.0
E05006649,Mar 1997,64950.0
E05006634,Mar 1997,69000.0
E05006643,Mar 1997,84000.0
E05010783,Mar 1997,85000.0
E05006651,Mar 1997,66975.0
E05009363,Mar 1997,137500.0
E05006644,Mar 1997,106750.0
E05006645,Mar 1997,96250.0
E05006646,Mar 1997,95995.0
E05009364,Mar 1997,82995.0
E05009365,Mar 1997,56750.0
E05010781,Mar 1997,117375.0
E05006652,Mar 1997,67750.0
E05010922,Jun 1997,50000.0
E05010923,Jun 1997,46800.0
E05010924,Jun 1997,43500.0
E05010925,Jun 1997,58000.0
E05010921,Jun 1997,51250.0
E05010930,Jun 1997,109500.0
E05010932,Jun 1997,72750.0
E05011349,Jun 1997,73000.0
E05012969,Jun 1997,112000.0
E05010933,Jun 1997,69500.0
E05010934,Jun 1997,100000.0
E05010928,Jun 1997,60000.0
E05012968,Jun 1997,77250.0
E05010926,Jun 1997,59950.0
E05010929,Jun 1997,104250.0
E05011348,Jun 1997,93500.0
E05006546,Jun 1997,52000.0
E05006547,Jun 1997,107000.0
E05006548,Jun 1997,67000.0
E05006545,Jun 1997,66500.0
E05006549,Jun 1997,67500.0
E05006550,Jun 1997,77000.0
E05006552,Jun 1997,72000.0
E05006568,Jun 1997,95000.0
E05006566,Jun 1997,88000.0
E05006563,Jun 1997,81000.0
E05006561,Jun 1997,59995.0
E05006556,Jun 1997,94475.0
E05006558,Jun 1997,72000.0
E05006567,Jun 1997,120000.0
E05006553,Jun 1997,97250.0
E05006555,Jun 1997,75500.0
E05006564,Jun 1997,89950.0
E05006559,Jun 1997,78000.0
E05006551,Jun 1997,100000.0
E05006565,Jun 1997,115500.0
E05006562,Jun 1997,81000.0
E05006560,Jun 1997,158000.0
E05006557,Jun 1997,65975.0
E05009733,Jun 1997,100000.0
E05009734,Jun 1997,72000.0
E05009735,Jun 1997,94000.0
E05009736,Jun 1997,93000.0
E05011712,Jun 1997,139750.0
E05011704,Jun 1997,132475.0
E05009751,Jun 1997,118000.0
E05009743,Jun 1997,112500.0
E05011708,Jun 1997,94750.0
E05012853,Jun 1997,115000.0
E05011702,Jun 1997,61950.0
E05011710,Jun 1997,80000.0
E05011711,Jun 1997,85750.0
E05012854,Jun 1997,130000.0
E05011703,Jun 1997,59000.0
E05011705,Jun 1997,133000.0
E05009749,Jun 1997,76000.0
E05011701,Jun 1997,98000.0
E05009740,Jun 1997,65000.0
E05011707,Jun 1997,165000.0
E05009742,Jun 1997,125000.0
E05009754,Jun 1997,66000.0
E05012974,Jun 1997,63125.0
E05012978,Jun 1997,82000.0
E05012980,Jun 1997,100000.0
E05012972,Jun 1997,84000.0
E05011719,Jun 1997,107950.0
E05009755,Jun 1997,64000.0
E05009757,Jun 1997,73500.0
E05009769,Jun 1997,113000.0
E05011714,Jun 1997,114950.0
E05012970,Jun 1997,75000.0
E05012975,Jun 1997,67375.0
E05009770,Jun 1997,79500.0
E05012976,Jun 1997,105000.0
E05012992,Jun 1997,116000.0
E05011715,Jun 1997,111500.0
E05011717,Jun 1997,86000.0
E05011718,Jun 1997,151000.0
E05012973,Jun 1997,57375.0
E05012971,Jun 1997,69500.0
E05009771,Jun 1997,112500.0
E05012977,Jun 1997,82000.0
