Area code,Area name,Superfast availability,Gigabit availability,Below universal service obligation,"Average download speed
(Mbps)",Receiving under 10 Mbps,Receiving over 30 Mbps,local_authority_code
E02005921,"Cropredy, Wroxton & Shennington",0.96604086140254,0.661512976256212,0.000828271673108779,116.209282992726,0.0277104260478004,0.889158295808798,E07000177
E02005922,Banbury Hardwick,0.99973903966597,0.788100208768267,0.0,126.679063004846,0.0222940226171243,0.901130856219709,E07000177
E02005923,Banbury Neithrop,0.978514888805126,0.640784018092725,0.0,101.935966735966,0.0337837837837837,0.87006237006237,E07000177
E02005924,Banbury Grimsbury,0.989505034746844,0.806126790526166,0.0,114.05892182216,0.028645315297394,0.875074597175253,E07000177
E02005925,Banbury Ruscote,0.999698340874811,0.926696832579185,0.0,116.49436997319,0.0379165070854078,0.889697433933358,E07000177
E02005926,Banbury Easington,0.992716165413533,0.943374060150376,0.0,128.743772455089,0.0317365269461077,0.879940119760479,E07000177
E02005927,Banbury Calthorpe,0.998819362455726,0.964580873671782,0.0,81.4228668941979,0.0282788883471477,0.854705021940516,E07000177
E02005928,"Bodicote, Adderbury & Bloxham",0.991154083521909,0.908660769389014,0.00123431392717547,131.501106466683,0.0120481927710843,0.909515613474305,E07000177
E02005929,"Sibford, Hook Norton & Milcombe",0.96232476635514,0.782126168224299,0.00262850467289719,73.7251174557282,0.0339718106252258,0.841344416335381,E07000177
E02005930,"Deddington, Steeple Aston & Heyfords",0.967091295116772,0.606794055201698,0.00148619957537155,141.813721467042,0.0282123621441395,0.897153116183636,E07000177
E02005931,"Caversfield, Ambrosden & Fringford",0.890437475803329,0.606078203639179,0.00619434765776229,118.302023346303,0.0350194552529182,0.87704280155642,E07000177
E02005932,Bicester North,0.999279798343536,0.956787900612171,0.0,166.517644539614,0.0141327623126338,0.949464668094218,E07000177
E02005933,Bicester East,0.998586372632174,0.924229573084534,0.0,156.653056234718,0.0185120502968913,0.930841774362556,E07000177
E02005934,Bicester West,0.997822536744692,0.961894393032117,0.0,164.238644394474,0.0189527786700931,0.889495663347253,E07000177
E02005935,Bicester South,0.974849527085124,0.79664660361135,0.0,99.3669447640966,0.0313578826237054,0.796605293440736,E07000177
E02005936,"Islip, Arncott & Chesterton",0.95754716981132,0.699336128581411,0.00174703004891684,161.167075452088,0.0399085429224693,0.895240074828518,E07000177
E02005958,Thame North,0.997692307692307,0.918076923076923,0.0,77.359979989995,0.0200100050025012,0.894447223611806,E07000179
E02005959,Beckley & Horspath,0.955315870570107,0.364791987673343,0.0,127.702960222016,0.0504162812210915,0.83163737280296,E07000179
E02005960,Thame South,0.993464052287581,0.946350762527233,0.000544662309368191,138.252914001421,0.0127931769722814,0.890191897654584,E07000179
E02005961,Wheatley & Great Haseley,0.956589147286821,0.645271317829457,0.000310077519379845,119.792161339421,0.0395738203957382,0.867199391171994,E07000179
E02005962,Chinnor & Tetsworth,0.98954858794752,0.792305981765621,0.00044474093840338,98.4820082530949,0.0211829436038514,0.889958734525447,E07000179
E02005963,Berinsfield & Wittenham,0.963664278403275,0.679119754350051,0.000255885363357215,106.828200253485,0.0402408111533586,0.865335868187579,E07000179
E02005964,"Chalgrove, Stadhampton & Dorchester",0.989595050618672,0.880483689538807,0.0,112.160411051212,0.0269541778975741,0.871293800539083,E07000179
E02005965,Watlington & Nettlebed,0.953439153439153,0.442328042328042,0.00458553791887125,84.5912578055307,0.0365744870651204,0.839875111507582,E07000179
E02005968,Benson & Crowmarsh Gifford,0.960379918588873,0.539213025780189,0.00189959294436906,142.194092689295,0.0336161879895561,0.87630548302872,E07000179
